"owner","name","extension.coordinates.x","extension.coordinates.y","extension.coordinates.z"
"terra1jhpm5...qzkur787","xyz #1",24,25,26
"terra16xfka...9mtrprjh","xyz #10",12,12,12
"terra1qzkrt...gfh3whfy","xyz #100",174,825,526
"terra14s3ny...xp9qvadf","xyz #1000",11,111,111
"terra1jhpm5...qzkur787","xyz #1001",23,11,21
"terra14sel4...e72v8fy7","xyz #1002",324,494,411
"terra1ay3yn...fpwj28fn","xyz #1003",504,937,-505
"terra18vujr...ngmuxhsn","xyz #1004",603,560,218
"terra19mu2w...gk72gzvs","xyz #1005",100,-257,215
"terra1ctjmj...tkeskvlc","xyz #1006",914,-420,-592
"terra1fgczg...zpzqznws","xyz #1007",-177,604,-110
"terra1p820t...9fp5jtvv","xyz #1008",234,1000,1000
"terra1p9y0k...35j4p8ha","xyz #1009",9,-3,5
"terra1ymc59...ze7tsve9","xyz #101",1,10,101
"terra1f8ssq...kyx0d46f","xyz #1010",-380,-124,-432
"terra1ux29s...e42tnj73","xyz #1011",-902,57,-67
"terra1llap4...0d7v6ms5","xyz #1012",999,99,9
"terra16aepx...l7zn43t0","xyz #1013",420,690,420
"terra1xwte6...mu9h9lw6","xyz #1014",-375,993,967
"terra13p88v...fjnka3ey","xyz #1015",9,8,8
"terra1cha68...rmr32t42","xyz #1016",585,-137,311
"terra1l2562...zn044jnc","xyz #1017",7,12,93
"terra14h98f...y4xhfgt9","xyz #1018",-990,342,-104
"terra1g4umu...fjpvgfdz","xyz #1019",-703,-208,-890
"terra1na3yq...68c56xsd","xyz #102",781,20,30
"terra1p820t...9fp5jtvv","xyz #1020",-77,378,-912
"terra1eek0y...a60q2z2t","xyz #1021",-423,828,-255
"terra1nrlwy...3kgswgr8","xyz #1022",999,512,21
"terra1zym3q...thqw6l76","xyz #1023",321,372,379
"terra13qyw6...5ccj5c3g","xyz #1024",5,5,4
"terra10xhry...tufn36u6","xyz #1025",656,-121,-129
"terra1e3r0e...p8qpnqgp","xyz #1026",546,936,753
"terra1pypcl...hnzuw2na","xyz #1027",9,13,81
"terra1hzcex...736a5ph0","xyz #1028",699,766,566
"terra1j8kxq...rmfrmrp9","xyz #1029",11,10,22
"terra159t95...6k568jxt","xyz #103",93,-811,49
"terra14peac...v4shmflf","xyz #1030",786,-530,-61
"terra1cs3gs...lwalj33v","xyz #1031",294,2,1
"terra1s0xk5...u45y55x5","xyz #1032",901,-482,101
"terra1r52kr...lmpjxc4n","xyz #1033",-206,711,570
"terra1hck4z...z70g28ks","xyz #1034",-445,-389,-159
"terra1s9man...mh5jjyuy","xyz #1035",123,123,1000
"terra106m33...cxzlefnx","xyz #1036",-813,4,575
"terra1yymga...eqenmcj9","xyz #1037",816,-59,902
"terra1nhv8v...maem0y5r","xyz #1038",23,5,23
"terra1s9man...mh5jjyuy","xyz #1039",374,230,50
"terra1azuw0...pg3vnjm7","xyz #104",888,888,889
"terra1ctjmj...tkeskvlc","xyz #1040",28,11,96
"terra1ne53v...8jkttyuu","xyz #1041",-810,78,219
"terra1f5ec8...paagf68z","xyz #1042",15,10,10
"terra1zr2r5...feh9qm77","xyz #1043",158,-173,381
"terra1ha5d2...gkgm9zae","xyz #1044",629,653,543
"terra12gstu...2cta2v3v","xyz #1045",978,134,59
"terra1z75yy...qc0ngur5","xyz #1046",3,1,1
"terra14pmna...tv8eezj7","xyz #1047",33,66,99
"terra1z320y...0jj6a98c","xyz #1048",211,-781,259
"terra1eek0y...a60q2z2t","xyz #1049",584,-982,149
"terra1j5sdr...6npgghg6","xyz #105",100,100,-100
